term,cefr,translation
about,A1,关于
above,A1,多于
across,A1,穿过
action,A1,行动
activity,A1,活动
actor,A1,演员
actress,A1,演员
add,A1,添加
address,A1,地址
adult,A1,成人
advice,A1,建议
afraid,A1,害怕的
after,A1,后
afternoon,A1,下午
again,A1,再次
age,A1,年龄
ago,A1,前
agree,A1,同意
air,A1,空气
airport,A1,飞机场
all,A1,全部
also,A1,还
always,A1,总是
amazing,A1,惊人的
an,A1,不定冠词
and,A1,和
angry,A1,生气的
animal,A1,动物
another,A1,另一个检测/代词。
answer,A1,回答
any,A1,任何
anyone,A1,任何人
anything,A1,任何事物
apartment,A1,公寓
apple,A1,苹果
April,A1,四月
area,A1,区域
arm,A1,手臂
around,A1,大约
arrive,A1,到达
art,A1,艺术
article,A1,文章
artist,A1,艺术家
as,A1,作为
ask,A1,问
at,A1,在
August,A1,八月
aunt,A1,阿姨
autumn,A1,秋天
away,A1,离开
baby,A1,婴儿
back,A1,后退
bad,A1,坏的
bag,A1,包
ball,A1,球
banana,A1,香蕉
band,A1,乐队
bank,A1,银行
bath,A1,洗澡
bathroom,A1,浴室
be,A1,是
beach,A1,海滩
beautiful,A1,美丽的
because,A1,因为
become,A1,变得
bed,A1,床
bedroom,A1,卧室
beer,A1,啤酒
before,A1,前
begin,A1,开始
beginning,A1,开始
behind,A1,在后面
believe,A1,相信
below,A1,以下
best,A1,最好的
better,A1,更好的
between,A1,之间
bicycle,A1,自行车
big,A1,大的
bike,A1,自行车
bill,A1,账单
bird,A1,鸟
birthday,A1,生日
black,A1,黑色的
blog,A1,博客
blonde,A1,金发女郎
blue,A1,蓝色的
boat,A1,船
body,A1,身体
book,A1,书
boot,A1,启动
bored,A1,无聊的
boring,A1,无聊的
born,A1,出生
both,A1,两者都检测/代词。
bottle,A1,瓶子
box,A1,盒子
boy,A1,男生
boyfriend,A1,男朋友
bread,A1,面包
break,A1,休息
breakfast,A1,早餐
bring,A1,带来
brother,A1,兄弟
brown,A1,棕色的
build,A1,建造
building,A1,建筑
bus,A1,公共汽车
business,A1,商业
busy,A1,忙碌的
but,A1,但
butter,A1,黄油
buy,A1,买
by,A1,经过
bye,A1,再见
cafe,A1,咖啡店
cake,A1,蛋糕
call,A1,称呼
camera,A1,相机
can,A1,能
cannot,A1,不能
capital,A1,首都
car,A1,车
card,A1,卡片
career,A1,职业
carrot,A1,胡萝卜
carry,A1,携带
cat,A1,猫
CD,A1,光盘
cent,A1,分
centre,A1,中心
century,A1,世纪
chair,A1,椅子
change,A1,改变
chart,A1,图表
cheap,A1,便宜的
check,A1,查看
cheese,A1,奶酪
chicken,A1,鸡
child,A1,孩子
chocolate,A1,巧克力
choose,A1,选择
cinema,A1,电影
city,A1,城市
class,A1,班级
classroom,A1,课堂
clean,A1,干净的
climb,A1,爬
clock,A1,钟
close,A1,关闭
clothes,A1,衣服
club,A1,俱乐部
coat,A1,外套
coffee,A1,咖啡
cold,A1,寒冷的
college,A1,大学
colour,A1,颜色
come,A1,来
common,A1,常见的
company,A1,公司
compare,A1,比较
complete,A1,完全的
computer,A1,电脑
concert,A1,音乐会
conversation,A1,对话
cook,A1,厨师
cooking,A1,烹饪
cool,A1,凉爽的
correct,A1,正确的
cost,A1,成本
could,A1,可以模态
country,A1,国家
course,A1,课程
cousin,A1,表哥
cow,A1,奶牛
cream,A1,奶油
create,A1,创造
culture,A1,文化
cup,A1,杯子
customer,A1,顾客
cut,A1,切割
dad,A1,爸爸
dance,A1,舞蹈
dancer,A1,舞蹈家
dancing,A1,跳舞
dangerous,A1,危险的
dark,A1,黑暗的
date,A1,日期
daughter,A1,女儿
day,A1,天
dear,A1,亲爱的
December,A1,十二月
decide,A1,决定
delicious,A1,可口的
describe,A1,描述
description,A1,描述
design,A1,设计
desk,A1,桌子
detail,A1,细节
dialogue,A1,对话
dictionary,A1,字典
die,A1,死
diet,A1,饮食
difference,A1,不同之处
different,A1,不同的
difficult,A1,难的
dinner,A1,晚餐
dirty,A1,肮脏的
discuss,A1,讨论
dish,A1,盘子
do,A1,做
doctor,A1,医生
dog,A1,狗
dollar,A1,美元
door,A1,门
down,A1,向下
downstairs,A1,楼下
draw,A1,画
dress,A1,裙子
drink,A1,喝
drive,A1,驾驶
driver,A1,司机
during,A1,期间
each,A1,每个
ear,A1,耳朵
early,A1,早期的
east,A1,东方
easy,A1,简单的
eat,A1,吃
egg,A1,蛋
eight,A1,八号
eighteen,A1,十八号
eighty,A1,八十号
elephant,A1,大象
eleven,A1,十一号
else,A1,别的
email,A1,电子邮件
end,A1,结尾
enjoy,A1,享受
enough,A1,足够的
euro,A1,欧元
evening,A1,晚上
event,A1,事件
ever,A1,曾经
every,A1,每一个
everybody,A1,大家
everyone,A1,每个人
everything,A1,一切
exam,A1,考试
example,A1,例子
excited,A1,兴奋的
exciting,A1,令人兴奋的
exercise,A1,锻炼
expensive,A1,昂贵的
explain,A1,解释
extra,A1,额外的
eye,A1,眼睛
face,A1,脸
fact,A1,事实
fall,A1,落下
family,A1,家庭
famous,A1,著名的
fantastic,A1,极好的
far,A1,远的
farm,A1,农场
farmer,A1,农民
fast,A1,快速地
fat,A1,胖的
father,A1,父亲
favourite,A1,最喜欢的
February,A1,二月
feel,A1,感觉
feeling,A1,感觉
festival,A1,节日
few,A1,很少检测/形容词
fifteen,A1,十五号
fifth,A1,第五个数字
fifty,A1,五十号
fill,A1,充满
film,A1,电影
final,A1,最终的
find,A1,寻找
fine,A1,美好的
finish,A1,结束
fire,A1,火
first,A1,第一个目的地/号码
fish,A1,鱼
five,A1,五号
flat,A1,平坦的
flight,A1,航班
floor,A1,地面
flower,A1,花
fly,A1,飞
follow,A1,跟随
food,A1,食物
foot,A1,脚
football,A1,足球
for,A1,为了
forget,A1,忘记
form,A1,形式
forty,A1,四十号
four,A1,四数
fourteen,A1,十四号
fourth,A1,第四
free,A1,自由的
Friday,A1,星期五
friend,A1,朋友
friendly,A1,友好的
from,A1,从
front,A1,前面
fruit,A1,水果
full,A1,满的
fun,A1,乐趣
funny,A1,有趣的
future,A1,未来
game,A1,游戏
garden,A1,花园
geography,A1,地理
get,A1,得到
girl,A1,女孩
girlfriend,A1,女朋友
give,A1,给
glass,A1,玻璃
go,A1,去
good,A1,好的
goodbye,A1,再见感叹号。/
grandfather,A1,祖父
grandmother,A1,祖母
grandparent,A1,祖父母
great,A1,伟大的
green,A1,绿色的
grey,A1,灰色的
group,A1,团体
grow,A1,生长
guess,A1,猜测
guitar,A1,吉他
gym,A1,健身房
hair,A1,头发
half,A1,一半
hand,A1,手
happen,A1,发生
happy,A1,快乐的
hard,A1,难的
hat,A1,帽子
hate,A1,恨
have,A1,有
have to,A1,必须采用模态
he,A1,他
head,A1,头
health,A1,健康
healthy,A1,健康
hear,A1,听到
hello,A1,你好感叹./
help,A1,帮助
her,A1,她
here,A1,这里
hey,A1,嘿
hi,A1,你好
high,A1,高的
him,A1,他
his,A1,他的
history,A1,历史
hobby,A1,爱好
holiday,A1,假期
home,A1,家
homework,A1,家庭作业
hope,A1,希望
horse,A1,马
hospital,A1,医院
hot,A1,热的
hotel,A1,酒店
hour,A1,小时
house,A1,房子
how,A1,如何
however,A1,然而
hundred,A1,百数
hungry,A1,饥饿的
husband,A1,丈夫
I,A1,我
ice,A1,冰
ice cream,A1,冰淇淋
idea,A1,主意
if,A1,如果
imagine,A1,想象
important,A1,重要的
improve,A1,提升
in,A1,在
include,A1,包括
information,A1,信息
interest,A1,兴趣
interested,A1,感兴趣的
interesting,A1,有趣的
internet,A1,互联网
interview,A1,面试
into,A1,进入
introduce,A1,介绍
island,A1,岛
it,A1,它
its,A1,它是
jacket,A1,夹克
January,A1,一月
jeans,A1,牛仔裤
job,A1,工作
join,A1,加入
journey,A1,旅行
juice,A1,汁
July,A1,七月
June,A1,六月
just,A1,只是
keep,A1,保持
key,A1,钥匙
kilometre,A1,公里
kind,A1,种类
kitchen,A1,厨房
know,A1,知道
land,A1,土地
language,A1,语言
large,A1,大的
last,A1,最后
late,A1,晚的
later,A1,之后
laugh,A1,笑
learn,A1,学习
leave,A1,离开
left,A1,左边
leg,A1,腿
lesson,A1,课
let,A1,让
letter,A1,信
library,A1,图书馆
lie,A1,谎言
life,A1,生活
light,A1,光
like,A1,喜欢
line,A1,线
lion,A1,狮子
list,A1,列表
listen,A1,听
little,A1,小的
live,A1,直播
local,A1,当地的
long,A1,长
look,A1,看
lose,A1,失去
lot,A1,很多
love,A1,爱
lunch,A1,午餐
machine,A1,机器
magazine,A1,杂志
main,A1,主要的
make,A1,制作
man,A1,男人
many,A1,许多检测/代词。
map,A1,地图
March,A1,行进
market,A1,市场
married,A1,已婚
match,A1,匹配
May,A1,可能
maybe,A1,或许
me,A1,我
meal,A1,一顿饭
mean,A1,意思是
meaning,A1,意义
meat,A1,肉
meet,A1,见面
meeting,A1,会议
member,A1,成员
menu,A1,菜单
message,A1,信息
metre,A1,仪表
midnight,A1,午夜
mile,A1,英里
milk,A1,牛奶
million,A1,百万数
minute,A1,分钟
miss,A1,错过
mistake,A1,错误
model,A1,模型
modern,A1,现代的
moment,A1,片刻
Monday,A1,周一
money,A1,钱
month,A1,月
more,A1,更多检测/代词。
morning,A1,早晨
most,A1,大多数检测/代词。
mother,A1,母亲
mountain,A1,山
mouse,A1,老鼠
mouth,A1,嘴
move,A1,移动
movie,A1,电影
much,A1,很多
mum,A1,妈妈
museum,A1,博物馆
music,A1,音乐
must,A1,必须是模态的
my,A1,我的
name,A1,姓名
natural,A1,自然的
near,A1,靠近
need,A1,需要
negative,A1,消极的
neighbour,A1,邻居
never,A1,绝不
new,A1,新的
news,A1,消息
newspaper,A1,报纸
next,A1,下一个
next to,A1,旁边
nice,A1,好的
night,A1,夜晚
nine,A1,九号
nineteen,A1,十九号
ninety,A1,九十号
no,A1,不
nobody,A1,没有人
north,A1,北
nose,A1,鼻子
not,A1,不是
note,A1,笔记
nothing,A1,没有什么
November,A1,十一月
now,A1,现在
number,A1,数字
nurse,A1,护士
object,A1,目的
October,A1,十月
of,A1,的
off,A1,离开
office,A1,办公室
often,A1,经常
oh,A1,哦
OK,A1,好的
old,A1,老的
on,A1,在
once,A1,一次
one,A1,一个号码/检测。
onion,A1,洋葱
online,A1,在线的
only,A1,仅有的
open,A1,打开
opinion,A1,观点
opposite,A1,对面的
or,A1,或者
orange,A1,橙子
order,A1,命令
other,A1,其他形容词/代词。
our,A1,我们的
out,A1,出副手/准备。
outside,A1,外部
over,A1,超过
own,A1,自己的形容词/代词。
o'clock,A1,点钟
page,A1,页
paint,A1,画
painting,A1,绘画
pair,A1,一对
paper,A1,纸
paragraph,A1,段落
parent,A1,家长
park,A1,公园
part,A1,部分
partner,A1,伙伴
party,A1,派对
passport,A1,护照
past,A1,过去的
pay,A1,支付
pen,A1,笔
pencil,A1,铅笔
people,A1,人们
pepper,A1,胡椒
perfect,A1,完美的
period,A1,时期
person,A1,人
personal,A1,个人的
phone,A1,电话
photo,A1,照片
photograph,A1,照片
phrase,A1,短语
piano,A1,钢琴
picture,A1,图片
piece,A1,片
pig,A1,猪
pink,A1,粉色的
plan,A1,计划
plane,A1,飞机
plant,A1,植物
play,A1,玩
player,A1,玩家
please,A1,请
point,A1,观点
police,A1,警察
policeman,A1,警察
pool,A1,水池
poor,A1,贫穷的
popular,A1,受欢迎的
positive,A1,积极的
possible,A1,可能的
post,A1,邮政
potato,A1,土豆
pound,A1,磅
practice,A1,实践
practise,A1,实践
prefer,A1,更喜欢
prepare,A1,准备
present,A1,展示
pretty,A1,漂亮的
price,A1,价格
probably,A1,大概
problem,A1,问题
product,A1,产品
programme,A1,程序
project,A1,项目
purple,A1,紫色的
put,A1,放
quarter,A1,四分之一
question,A1,问题
quick,A1,快的
quickly,A1,迅速地
quiet,A1,安静的
quite,A1,相当
radio,A1,收音机
rain,A1,雨
read,A1,读
reader,A1,读者
reading,A1,阅读
ready,A1,准备好
real,A1,真实的
really,A1,真的
reason,A1,原因
red,A1,红色的
relax,A1,放松
remember,A1,记住
repeat,A1,重复
report,A1,报告
restaurant,A1,餐厅
result,A1,结果
return,A1,返回
rice,A1,米
rich,A1,富有的
ride,A1,骑
right,A1,正确的
river,A1,河
road,A1,路
room,A1,房间
routine,A1,常规
rule,A1,规则
run,A1,跑步
sad,A1,伤心
salad,A1,沙拉
salt,A1,盐
same,A1,相同的
sandwich,A1,三明治
Saturday,A1,星期六
say,A1,说
school,A1,学校
science,A1,科学
scientist,A1,科学家
sea,A1,海
second,A1,第二个
section,A1,部分
see,A1,看
sell,A1,卖
send,A1,发送
sentence,A1,句子
September,A1,九月
seven,A1,七号
seventeen,A1,十七号
seventy,A1,七十号
share,A1,分享
she,A1,她
sheep,A1,羊
shirt,A1,衬衫
shoe,A1,鞋
shop,A1,店铺
shopping,A1,购物
short,A1,短的
should,A1,应该是模态的
show,A1,展示
shower,A1,淋浴
sick,A1,生病的
similar,A1,相似的
sing,A1,唱歌
singer,A1,歌手
sister,A1,姐姐
sit,A1,坐
situation,A1,情况
six,A1,六数
sixteen,A1,十六号
sixty,A1,六十号
skill,A1,技能
skirt,A1,裙子
sleep,A1,睡觉
slow,A1,慢的
small,A1,小的
snake,A1,蛇
snow,A1,雪
so,A1,所以
some,A1,一些
somebody,A1,某人
someone,A1,某人
something,A1,某物
sometimes,A1,有时
son,A1,儿子
song,A1,歌曲
soon,A1,很快
sorry,A1,对不起
sound,A1,声音
soup,A1,汤
south,A1,南
space,A1,空间
speak,A1,说话
special,A1,特别的
spell,A1,拼写
spelling,A1,拼写
spend,A1,花费
sport,A1,运动
spring,A1,春天
stand,A1,站立
star,A1,星星
start,A1,开始
statement,A1,声明
station,A1,车站
stay,A1,停留
still,A1,仍然
stop,A1,停止
story,A1,故事
street,A1,街道
strong,A1,强的
student,A1,学生
study,A1,学习
style,A1,风格
subject,A1,主题
success,A1,成功
sugar,A1,糖
summer,A1,夏天
sun,A1,太阳
Sunday,A1,星期日
supermarket,A1,超级市场
sure,A1,当然
sweater,A1,毛衣
swim,A1,游泳
swimming,A1,游泳
T-shirt,A1,T恤
table,A1,桌子
take,A1,拿
talk,A1,讲话
tall,A1,高的
taxi,A1,出租车
tea,A1,茶
teach,A1,教
teacher,A1,老师
team,A1,团队
teenager,A1,青少年
telephone,A1,电话
television,A1,电视
tell,A1,告诉
ten,A1,十数
tennis,A1,网球
terrible,A1,糟糕的
test,A1,测试
text,A1,文本
than,A1,比
thank,A1,感谢
thanks,A1,谢谢
that,A1,那
the,A1,定冠词
theatre,A1,剧院
their,A1,他们的
them,A1,他们
then,A1,然后
there,A1,那里
they,A1,他们
thing,A1,事物
think,A1,思考
third,A1,第三个数字
thirsty,A1,渴
thirteen,A1,十三号
thirty,A1,三十号
this,A1,这个检测/代词。
thousand,A1,千数
three,A1,三数
through,A1,通过
Thursday,A1,周四
ticket,A1,票
time,A1,时间
tired,A1,疲劳的
title,A1,标题
to,A1,到
today,A1,今天
together,A1,一起
toilet,A1,洗手间
tomorrow,A1,明天
tonight,A1,今晚
too,A1,也
tooth,A1,齿
topic,A1,话题
tourist,A1,游客
town,A1,镇
traffic,A1,交通
train,A1,火车
travel,A1,旅行
tree,A1,树
trip,A1,旅行
trousers,A1,裤子
try,A1,尝试
Tuesday,A1,周二
turn,A1,转动
TV,A1,电视
twelve,A1,十二数
twenty,A1,二十号
twice,A1,两次
two,A1,两个数
type,A1,类型
umbrella,A1,伞
uncle,A1,叔叔
under,A1,在下面
understand,A1,理解
university,A1,大学
until,A1,直到连接/准备。
up,A1,向上
upstairs,A1,楼上
us,A1,我们
use,A1,使用
useful,A1,有用
usually,A1,通常
vacation,A1,假期
vegetable,A1,蔬菜
very,A1,非常
video,A1,视频
village,A1,村庄
visit,A1,访问
visitor,A1,游客
wait,A1,等待
waiter,A1,服务员
wake,A1,唤醒
walk,A1,走
wall,A1,墙
want,A1,想
warm,A1,温暖的
wash,A1,洗
watch,A1,手表
water,A1,水
way,A1,方式
we,A1,我们
wear,A1,穿
weather,A1,天气
website,A1,网站
Wednesday,A1,周三
week,A1,星期
weekend,A1,周末
welcome,A1,欢迎
well,A1,出色地
west,A1,西方
what,A1,什么代词/检测。
when,A1,什么时候
where,A1,在哪里
which,A1,哪个代词/检测。
white,A1,白色的
why,A1,为什么
wife,A1,妻子
will,A1,将模态
win,A1,赢
window,A1,窗户
wine,A1,葡萄酒
winter,A1,冬天
with,A1,和
without,A1,没有
woman,A1,女士
wonderful,A1,精彩的
word,A1,单词
work,A1,工作
worker,A1,工人
world,A1,世界
would,A1,会模态
write,A1,写
writer,A1,作家
writing,A1,写作
wrong,A1,错误的
yeah,A1,是的
year,A1,年
yellow,A1,黄色的
yes,A1,是的
yesterday,A1,昨天
you,A1,你
young,A1,年轻的
your,A1,你的
yourself,A1,你自己
ability,A2,能力
able,A2,有能力的
abroad,A2,国外
accept,A2,接受
accident,A2,事故
according to,A2,根据
achieve,A2,达到
act,A2,行为
active,A2,积极的
actually,A2,实际上
advantage,A2,优势
adventure,A2,冒险
advertise,A2,广告
advertisement,A2,广告
advertising,A2,广告
affect,A2,影响
against,A2,反对
ah,A2,啊
airline,A2,航空公司
alive,A2,活
all right,A2,好吧
allow,A2,允许
almost,A2,几乎
alone,A2,单独
along,A2,沿着
already,A2,已经
alternative,A2,选择
although,A2,虽然
among,A2,之中
amount,A2,数量
ancient,A2,古老的
ankle,A2,踝
anybody,A2,任何人
any more,A2,还没有更多
anyway,A2,反正
anywhere,A2,任何地方
app,A2,应用程序
appear,A2,出现
appearance,A2,外貌
apply,A2,申请
architect,A2,建筑师
architecture,A2,建筑学
argue,A2,争论
argument,A2,争论
army,A2,军队
arrange,A2,安排
arrangement,A2,安排
asleep,A2,睡着了
assistant,A2,助手
athlete,A2,运动员
attack,A2,攻击
attend,A2,出席
attention,A2,注意力
attractive,A2,吸引人的
audience,A2,观众
author,A2,作者
available,A2,可用的
average,A2,平均的
avoid,A2,避免
award,A2,奖
awful,A2,可怕
background,A2,背景
badly,A2,严重地
bar,A2,酒吧
baseball,A2,棒球
based,A2,基于
basketball,A2,篮球
bean,A2,豆
bear,A2,熊
beat,A2,打
beef,A2,牛肉
behave,A2,表现
behaviour,A2,行为
belong,A2,属于
belt,A2,腰带
benefit,A2,益处
billion,A2,亿数
bin,A2,垃圾桶
biology,A2,生物学
birth,A2,出生
biscuit,A2,饼干
bit,A2,少量
blank,A2,空白的
blood,A2,血
blow,A2,吹
board,A2,木板
boil,A2,熬
bone,A2,骨
borrow,A2,借
boss,A2,老板
bottom,A2,底部
bowl,A2,碗
brain,A2,脑
bridge,A2,桥
bright,A2,明亮的
brilliant,A2,出色的
broken,A2,破碎的
brush,A2,刷子
burn,A2,烧伤
businessman,A2,商人
button,A2,按钮
camp,A2,营
camping,A2,野营
care,A2,关心
careful,A2,小心
carefully,A2,小心
carpet,A2,地毯
cartoon,A2,卡通片
case,A2,案件
cash,A2,现金
castle,A2,城堡
catch,A2,抓住
cause,A2,原因
celebrate,A2,庆祝
celebrity,A2,名人
certain,A2,肯定
certainly,A2,当然
chance,A2,机会
character,A2,特点
charity,A2,慈善事业
chat,A2,聊天
chef,A2,厨师
chemistry,A2,化学
chip,A2,芯片
choice,A2,选择
church,A2,教会
cigarette,A2,卷烟
circle,A2,圆圈
classical,A2,古典
clear,A2,清除
clearly,A2,清楚地
clever,A2,聪明的
climate,A2,气候
closed,A2,关闭
clothing,A2,衣服
cloud,A2,云
coach,A2,教练
coast,A2,海岸
code,A2,代码
colleague,A2,同事
collect,A2,收集
column,A2,柱子
comedy,A2,喜剧
comfortable,A2,舒服的
comment,A2,评论
communicate,A2,交流
community,A2,社区
compete,A2,竞争
competition,A2,竞赛
complain,A2,抱怨
completely,A2,完全地
condition,A2,状况
conference,A2,会议
connect,A2,连接
connected,A2,已连接
consider,A2,考虑
contain,A2,包含
context,A2,语境
continent,A2,大陆
continue,A2,继续
control,A2,控制
copy,A2,复制
corner,A2,角落
correctly,A2,正确地
count,A2,数数
couple,A2,夫妻
cover,A2,覆盖
crazy,A2,疯狂的
creative,A2,有创造力的
credit,A2,信用
crime,A2,犯罪
criminal,A2,刑事
cross,A2,叉
crowd,A2,人群
crowded,A2,挤
cry,A2,哭
cupboard,A2,橱柜
curly,A2,卷曲
cycle,A2,循环
daily,A2,日常的
danger,A2,危险
data,A2,数据
dead,A2,死的
deal,A2,交易
death,A2,死亡
decision,A2,决定
deep,A2,深的
definitely,A2,确实
degree,A2,程度
dentist,A2,牙医
department,A2,部门
depend,A2,依赖
desert,A2,沙漠
designer,A2,设计师
destroy,A2,破坏
detective,A2,侦探
develop,A2,发展
device,A2,设备
diary,A2,日记
differently,A2,不同地
digital,A2,数字的
direct,A2,直接的
direction,A2,方向
director,A2,导演
disagree,A2,不同意
disappear,A2,消失
disaster,A2,灾难
discover,A2,发现
discovery,A2,发现
discussion,A2,讨论
disease,A2,疾病
distance,A2,距离
divorced,A2,离婚的
document,A2,文档
double,A2,双倍的
download,A2,下载
drama,A2,戏剧
drawing,A2,绘画
dream,A2,梦
driving,A2,驾驶
drop,A2,降低
drug,A2,药品
dry,A2,干燥
earn,A2,赚
earth,A2,地球
easily,A2,容易地
education,A2,教育
effect,A2,影响
either,A2,要么
electric,A2,电的
electrical,A2,电气
electricity,A2,电
electronic,A2,电子的
employ,A2,采用
employee,A2,员工
employer,A2,雇主
empty,A2,空的
ending,A2,结束
energy,A2,活力
engine,A2,引擎
engineer,A2,工程师
enormous,A2,巨大的
enter,A2,进入
environment,A2,环境
equipment,A2,设备
error,A2,错误
especially,A2,尤其
essay,A2,散文
everyday,A2,每天
everywhere,A2,到处
evidence,A2,证据
exact,A2,精确的
exactly,A2,确切地
excellent,A2,出色的
except,A2,除了
exist,A2,存在
expect,A2,预计
experience,A2,经验
experiment,A2,实验
expert,A2,专家
explanation,A2,解释
express,A2,表达
expression,A2,表达
extreme,A2,极端
extremely,A2,极其
factor,A2,因素
factory,A2,工厂
fail,A2,失败
fair,A2,公平的
fan,A2,扇子
farming,A2,农业
fashion,A2,时尚
fear,A2,害怕
feature,A2,特征
feed,A2,喂养
female,A2,女性
fiction,A2,小说
field,A2,场地
fight,A2,斗争
figure,A2,数字
finally,A2,最后
finger,A2,手指
firstly,A2,首先
fishing,A2,钓鱼
fit,A2,合身
fix,A2,使固定
flu,A2,流感
flying,A2,飞行
focus,A2,重点
following,A2,下列的
foreign,A2,外国的
forest,A2,森林
fork,A2,叉
formal,A2,正式的
fortunately,A2,幸运的是
forward,A2,向前
fresh,A2,新鲜的
fridge,A2,冰箱
frog,A2,青蛙
furniture,A2,家具
further,A2,更远
gallery,A2,画廊
gap,A2,差距
gas,A2,气体
gate,A2,门
general,A2,一般的
gift,A2,礼物
goal,A2,目标
god,A2,上帝
gold,A2,金子
golf,A2,高尔夫球
government,A2,政府
grass,A2,草
greet,A2,迎接
ground,A2,地面
guest,A2,客人
guide,A2,指导
gun,A2,枪
guy,A2,家伙
habit,A2,习惯
hall,A2,大厅
happily,A2,高兴地
headache,A2,头痛
heart,A2,心
heat,A2,热
heavy,A2,重的
height,A2,高度
helpful,A2,有帮助的
hero,A2,英雄
hers,A2,她的
herself,A2,她自己
hide,A2,隐藏
hill,A2,爬坡道
himself,A2,他自己
hit,A2,打
hockey,A2,曲棍球
hold,A2,抓住
hole,A2,洞
huge,A2,巨大的
human,A2,人类
hurt,A2,伤害
ideal,A2,理想的
identify,A2,确认
ill,A2,患病的
illness,A2,疾病
image,A2,图像
immediately,A2,立即
impossible,A2,不可能的
included,A2,包括
including,A2,包括
increase,A2,增加
incredible,A2,极好的
independent,A2,独立的
individual,A2,个人
industry,A2,行业
informal,A2,非正式的
injury,A2,受伤
insect,A2,昆虫
inside,A2,里面
instead,A2,反而
instruction,A2,操作说明
instructor,A2,讲师
instrument,A2,乐器
intelligent,A2,聪明的
international,A2,国际的
introduction,A2,介绍
invent,A2,发明
invention,A2,发明
invitation,A2,邀请函
invite,A2,邀请
involve,A2,涉及
item,A2,物品
itself,A2,本身
jam,A2,果酱
jazz,A2,爵士乐
jewellery,A2,首饰
joke,A2,开玩笑
journalist,A2,记者
jump,A2,跳
kid,A2,孩子
kill,A2,杀
king,A2,国王
knee,A2,膝盖
knife,A2,刀
knock,A2,敲
knowledge,A2,知识
lab,A2,实验室
lady,A2,女士
lake,A2,湖
lamp,A2,灯
laptop,A2,笔记本电脑
laughter,A2,笑声
law,A2,法律
lawyer,A2,律师
lazy,A2,懒惰的
lead,A2,导联
leader,A2,领导者
learning,A2,学习
least,A2,最少检测/代词。
lecture,A2,演讲
lemon,A2,柠檬
lend,A2,借
less,A2,少检测/代词。
level,A2,等级
lifestyle,A2,生活方式
lift,A2,举起
likely,A2,可能
link,A2,关联
listener,A2,听众
lorry,A2,货车
lost,A2,丢失的
loud,A2,大声
loudly,A2,高声
lovely,A2,迷人的
low,A2,低的
luck,A2,运气
lucky,A2,幸运的
mail,A2,邮件
major,A2,主要的
male,A2,男性
manage,A2,管理
manager,A2,经理
manner,A2,方式
mark,A2,标记
marry,A2,结婚
material,A2,材料
mathematics,A2,数学
maths,A2,数学
matter,A2,事情
media,A2,媒体
medical,A2,医疗的
medicine,A2,药品
memory,A2,记忆
mention,A2,提到
metal,A2,金属
method,A2,方法
middle,A2,中间
might,A2,可能是情态动词
mind,A2,头脑
mine,A2,矿
mirror,A2,镜子
missing,A2,丢失的
mobile,A2,移动的
monkey,A2,猴
moon,A2,月亮
mostly,A2,大多
motorcycle,A2,摩托车
movement,A2,移动
musical,A2,音乐
musician,A2,音乐家
myself,A2,我
narrow,A2,狭窄的
national,A2,国家的
nature,A2,自然
nearly,A2,几乎
necessary,A2,必要的
neck,A2,脖子
neither,A2,既没有检测/代词。
nervous,A2,紧张的
